ID	Name	alias
GLU	血糖	血糖;葡萄糖测定(GLU);空腹血糖;葡萄糖;GLU;
HCT	红细胞比容	红细胞压积(HCT);红细胞压积;红细胞比容;HCT;血细胞比容;
HCY	同型半胱氨酸	同型半胱氨酸(HCY);HCY;同型半胱氨酸;
HDL	高密度脂蛋白胆固醇	高密度脂蛋白胆固醇(HDL-CH);HDL-C;高密度脂蛋白;高密度脂蛋白胆固醇;HDL-CH;HDL;
HGB	血红蛋白	血红蛋白;HGB;血红蛋白(HGB);血红蛋白测定;
hsCRP	超敏C反应蛋白	超敏C反应蛋白;超敏C-反应蛋白;超敏C-反应蛋白(hsCRP);超敏C-反应蛋白(hs-CRP);HSCRP;
IBIL	间接胆红素	间接胆红素(IBIL);IBIL;间接胆红素;间接胆红素(I-BIL);
IgA	免疫球蛋白A	免疫球蛋白A(IgA);免疫球蛋白A;IGA;IgA;
IGF1	胰岛素样生长因子1	胰岛素样生长因子
IGFBP3	胰岛素样生长因子结合蛋白3	胰岛素样生长因子结合蛋白-3(IGFBP-3);胰岛素样生长因子结合蛋白-3;类胰岛素样生长因子结合蛋白-3;胰岛素样生长因子结合蛋白3;IGFBP-3;类胰岛素样生长因子结合蛋白-3(IGFBP-3);胰岛素样生长因子结合蛋白-3;
IgG	免疫球蛋白G	免疫球蛋白G(IgG);免疫球蛋白G;IGG;IgG;
IgM	免疫球蛋白M	免疫球蛋白M(IgM);免疫球蛋白M;IGM;IgM;
IL6	白细胞介素6	白细胞介素6/IL-6;IL-6;白细胞介素Ⅵ;白细胞介素Ⅵ(IL-6);白细胞介素-6;白细胞介素6;白介素-6;
INS	空腹胰岛素	空腹胰岛素(ins);ins;胰岛素;胰岛素(INS);胰岛素(空腹);空腹胰岛素;
K	血钾	血钾(K);血钾;K;钾;钾(K);
LDH	乳酸脱氢酶	乳酸脱氢酶(LDH);LDH;乳酸脱氢酶;
LDH1_LDH	乳酸脱氢酶同工酶1/乳酸脱氢酶	乳酸脱氢酶同工酶1/乳酸脱氢酶;
LDH1	乳酸脱氢酶同工酶1	乳酸脱氢酶同工酶1(LDH1);乳酸脱氢酶同工酶1;
LDL	低密度脂蛋白胆固醇	低密度脂蛋白胆固醇(LDL-CH);低密度脂蛋白胆固醇;低密度脂蛋白;LDL-C;LDL-CH;LDL;
Li	血清锂	血清锂(Li);血清锂;
LYMc	淋巴细胞绝对值	淋巴细胞绝对值;LYMPH#;淋巴细胞绝对值(LY#);淋巴细胞数量;淋巴细胞数量(LYM#);淋巴细胞绝对数;
LYMp	淋巴细胞百分比	淋巴细胞百分比;LYMPH%;淋巴细胞百分比(LY%);淋巴细胞百分含量;淋巴细胞百分含量(LYM%);
MCH	平均红细胞血红蛋白含量	平均红细胞血红蛋白含量;MCH;平均红细胞血红蛋白含量(MCH);平均血红蛋白含量;平均血红蛋白含量(MCH);平均血红蛋白量;
MCHC	平均血红蛋白浓度	平均血红蛋白浓度;平均红细胞血红蛋白浓度(MCHC);MCHC;平均血红蛋白浓度(MCHC);平均红细胞血红蛋白浓度;
MCV	平均红细胞体积	平均红细胞体积;MCV;平均红细胞体积(MCV);
Mg	全血微量元素镁	全血微量元素镁(Mg);全血镁;全血微量元素镁;
Mn	全血微量元素锰	全血微量元素锰(Mn);全血锰;全血微量元素锰;
MONc	单核细胞绝对值	单核细胞绝对值;MONO#;MON#;单核细胞绝对值(MON#);单核细胞数量;单核细胞数量(MON#);
MONp	单核细胞百分比	单核细胞百分比;MONO%;MON%;单核细胞百分比(MON%);单核细胞百分含量;单核细胞百分含量(MON%);
MPV	血小板平均体积	平均血小板体积(MPV);血小板平均体积;MPV;平均血小板体积(MPV);平均血小板体积;
Na	血钠	血钠(NA);血钠;Na;钠;钠(NA);
NEUc	中性粒细胞绝对值	中性粒细胞绝对值;NEUT#;中性粒细胞绝对值(NEU#);中性粒细胞数量(NEU#);中性粒细胞数量;中性粒细胞绝对数;
NEUp	中性粒细胞百分比	中性粒细胞百分比;NEUT%;NEU%;中性粒细胞百分比(NEU%);中性粒细胞百分含量(NEU%);中性粒细胞百分含量;
NRBCc	有核红细胞计数	有核红细胞计数(NRBC#);有核红细胞计数;
NRBCp	有核红细胞百分比	有核红细胞百分比(NRBC%);有核红细胞百分比;核红细胞百分比;
Pb	全血微量元素铅	全血微量元素铅(Pb);全血铅;全血微量元素铅;
PCT	血小板压积	血小板比积;PCT;血小板比积(PCT);血小板压积(PCT);血小板压积;
PDW	血小板分布宽度	血小板分布宽度;PDW;血小板分布宽度(PDW);血小板分布宽度（PDW）;
PLT	血小板计数	血小板计数;PLT;血小板计数(PLT);
RBC	红细胞计数	红细胞计数;RBC;红细胞计数(RBC);红细胞;
RDW	红细胞体积分布宽度	红细胞体积分布宽度;RDW;红细胞体积分布宽度(RDW);红细胞体积分布宽度（RDW）;
RF	类风湿因子	类风湿因子(RF);类风湿因子;RF;
Se	全血微量元素硒	全血微量元素硒(Se);全血硒;全血微量元素硒;
TBA	总胆汁酸	总胆汁酸(TBA);总胆汁酸;
TBIL	总胆红素	总胆红素(TBIL);总胆红素;TBL;总胆红素(T-BIL);
TCHOL	总胆固醇	胆固醇(CHOL);胆固醇;总胆固醇;TC;
CHOL	胆固醇/高密度脂蛋白	总胆固醇/高密度脂蛋白胆固醇;胆固醇/高密度脂蛋白;
TG	甘油三酯	甘油三酯(TG);甘油三酯;TG;
Ti	血铊	血铊;
TNFa	肿瘤坏死因子	肿瘤坏死因子(TNF-α);TNF-α;肿瘤坏死因子;TNF;肿瘤坏死因子α(TNF-α);肿瘤坏死因子(TNF-∝);α肿瘤坏死因子;
TP	总蛋白	总蛋白(TP);总蛋白;TP;
VD	总维生素D	总维生素D;
UA	尿酸	尿酸;尿酸(UA);UA;
UREA	尿素	尿素;尿素(UREA);尿素氮测定(urea);
VA	血清维生素A	血清维生素A;VA;维生素A;
VB12	维生素B12	维生素B12(VitB12);VB12;维生素B12;
VE	血清维生素E	血清维生素E;VE;维生素E;
WBC	白细胞计数	白细胞计数;WBC;白细胞计数(WBC);白细胞数;
WCA	血总钙	血总钙(CA);血总钙;Ca;钙;血清钙;总钙(CA);总钙;
Zn	全血微量元素锌	全血微量元素锌(Zn);全血锌;全血微量元素锌;
Hg	全血汞	全血汞;全血微量元素汞;Hg;
UBLD	尿隐血	尿隐血;尿隐血(BLD);潜血;
UGLU	尿葡萄糖	尿葡萄糖(GLU);尿葡萄糖;
UKET	尿酮体	尿酮体;尿酮体(KET);酮体;
UNIT	尿亚硝酸盐	尿亚硝酸盐(NIT);尿亚硝酸盐;亚硝酸盐;
UPH	尿pH值	尿pH值(PH);尿pH值;酸碱度;
UBIL	尿胆红素	尿胆红素;尿胆红素(BIL);胆红素;
SG	尿比重	尿比重(SG);尿比重;SG;比重;
URO	尿胆原	尿胆原(URO);尿胆原;URO;尿胆素原;
UVC	尿维生素C	尿维生素C(VC);尿维生素C;
UWBC	尿白细胞	尿白细胞;尿白细胞(Leu);白细胞;
Ucr	尿肌酐	尿肌酐;U-CR;
mAlb	尿微量白蛋白	尿微量白蛋白;UALB;尿微量白蛋白浓度;微量白蛋白;
mAlb_Ucr	尿微量白蛋白/尿肌酐	尿微量白蛋白/尿肌酐;尿微量白蛋白比尿肌酐;UMAL/UCR;微量白蛋白/肌酐;
UPRO	尿蛋白质	尿蛋白质(PRO);尿蛋白质;PRO;蛋白质;
URBC	尿红细胞	
HBA1C	糖化血红蛋白	糖化血红蛋白(HBA1C);糖化血红蛋白;糖化血红蛋白(HbA1C);
RT3	反-三碘甲状腺原氨酸(RT3)	反-三碘甲状腺原氨酸(RT3);反-三碘甲状腺原氨酸;反T3;反三碘甲状腺原氨酸;血清反三碘甲状腺原氨酸(rT3);RT3;
TSH	超敏促甲状腺素(TSH)	超敏促甲状腺素(TSH);超敏促甲状腺素;TSH;促甲状腺激素;
FT4	游离甲状腺素(FT4)	游离甲状腺素(FT4);游离甲状腺素;FT4;
FT3	游离三碘甲状腺原氨酸(FT3)	游离三碘甲状腺原氨酸(FT3);游离三碘甲状腺原氨酸;FT3;游离三碘甲状原氨酸;
FRUC	果糖胺(FRUC)	果糖胺(FRUC);果糖胺;糖化血清蛋白;
TGAb	甲状腺球蛋白抗体(TGAb)	TGAb;甲状腺球蛋白抗体(TGAb);甲状腺球蛋白抗体;
TAS	总抗氧化状态(TAS)	总抗氧化状态(TAS);TAS;总抗氧化状态;
SOD	超氧化物岐化酶(SOD)	超氧化物岐化酶(SOD);SOD;超氧化物岐化酶;
